id,sku,link-href,name,origin_price,discount_percent,discount_percent,img-src,rating,review_count,brand_name,specification
321436,0220042002559,https://www.thegioididong.com/laptop/acer-aspire-a315-44p-r9w8-r7-nxksjsv002,Laptop Acer Aspire 3 A315 44P R9W8 R7 5700U/8GB/512GB/Win11 (NX.KSJSV.002),12.990.000₫,-17%,10.690.000₫,https://cdn.tgdd.vn/Products/Images/44/321436/acer-aspire-a315-44p-r9w8-r7-nxksjsv002-thumb-600x600.jpg,4.5,456,Acer,Săn mã đến 1 triệu 12.990.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: Ryzen 7; 5700U; 1.8GHz Card: Radeon Pin: 3-cell; 50Wh Khối lượng: 1.7 kg
326637,0220042002712,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001,Laptop Acer Aspire Lite 14 51M 59BN i5 1235U/16GB/512GB/Win11 (NX.KTXSV.001),14.990.000₫,-10%,13.490.000₫,https://cdn.tgdd.vn/Products/Images/44/326637/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001-100624-101857-600x600.jpg,,,Acer,Săn mã đến 1 triệu 14.990.000₫ Màn hình: 14"; Full HD+ (1920 x 1200) CPU: i5; 1235U; 1.3GHz Card: Intel UHD Pin: 3-cell Li-ion; 58 Wh Khối lượng: 1.5 kg
322222,0220042002575,https://www.thegioididong.com/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001),13.990.000₫,-14%,11.990.000₫,https://cdn.tgdd.vn/Products/Images/44/322222/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001-thumb-600x600.jpg,4,43,Acer,Săn mã đến 1 triệu 13.990.000₫ Màn hình: 14"; WUXGA CPU: Ryzen 7; 5700U; 1.8GHz Card: Radeon Pin: 3-cell; 50Wh Khối lượng: 1.4 kg
329075,0220042002817,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-529v-i5-nxaddsv00n?utm_flashsale=1,Laptop Acer Aspire 3 A315 58 529V i5 1135G7/8GB/256GB/Win11 (NX.ADDSV.00N),10.990.000₫,-18%,8.990.000₫,https://cdn.tgdd.vn/Products/Images/44/329075/acer-aspire-3-a315-58-529v-i5-nxaddsv00n-140924-125407-600x600.jpg,,,Acer,Săn mã đến 1 triệu Online giá rẻ quá 10.990.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i5; 1135G7; 2.4GHz Card: Intel Iris Xe Pin: 2-cell; 36.7Wh Khối lượng: 1.7 kg
326875,0220042002736,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-36mh-i3-nxktvsv001,Laptop Acer Aspire Lite 14 51M 36MH i3 1215U/8GB/256GB/Win11 (NX.KTVSV.001),10.490.000₫,-12%,9.190.000₫,https://cdn.tgdd.vn/Products/Images/44/326875/acer-aspire-lite-14-51m-36mh-i3-nxktvsv001-thumb-600x600.jpg,5,53,Acer,Săn mã đến 1 triệu 10.490.000₫ Màn hình: 14"; Full HD+ (1920 x 1200) CPU: i3; 1215U; 1.2GHz Card: Intel UHD Pin: 3-cell Li-ion; 58 Wh Khối lượng: 1.5 kg
326876,0220042002737,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-36pn-i3-nxktwsv001,Laptop Acer Aspire Lite 14 51M 36PN i3 1215U/8GB/512GB/Win11 (NX.KTWSV.001),10.990.000₫,-11%,9.690.000₫,https://cdn.tgdd.vn/Products/Images/44/326876/acer-aspire-lite-14-51m-36pn-i3-nxktwsv001-thumb-600x600.jpg,5,54,Acer,Săn mã đến 1 triệu 10.990.000₫ Màn hình: 14"; Full HD+ (1920 x 1200) CPU: i3; 1215U; 1.2GHz Card: Intel UHD Pin: 3-cell Li-ion; 58 Wh Khối lượng: 1.5 kg
314630,0220042002427,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002,Laptop Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H/16GB/512GB/4GB RTX2050/Win11 (NX.KQ4SV.002),20.490.000₫,-19%,16.490.000₫,https://cdn.tgdd.vn/Products/Images/44/314630/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002-170923-015941-600x600.jpg,4,428,Acer,Săn mã đến 1 triệu 20.490.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i5; 13420H; 2.1GHz Card: RTX 2050 4GB Pin: 3-cell; 50Wh Khối lượng: 1.7 kg
323587,0220042002633,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58m-56yx-i5-nxkq8sv005,Laptop Acer Aspire 5 A515 58M 56YX i5 13420H/16GB/512GB/Win11 (NX.KQ8SV.005),17.490.000₫,-16%,14.690.000₫,https://cdn.tgdd.vn/Products/Images/44/323587/acer-aspire-5-a515-58m-56yx-i5-nxkq8sv005-290624-013508-600x600.png,,,Acer,Săn mã đến 1 triệu 17.490.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i5; 13420H; 2.1GHz Card: Intel UHD Pin: 3-cell; 50Wh Khối lượng: 1.7 kg
330168,0220042002839,https://www.thegioididong.com/laptop/acer-aspire-5-a514-56p-742f-i7-nxkhrsv005,Laptop Acer Aspire 5 A514 56P 742F i7 1355U/16GB/512GB/Win11 (NX.KHRSV.005),19.990.000₫,-30%,13.990.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330168/acer-aspire-5-a514-56p-742f-i7-nxkhrsv005-thumb-638628535714824429-600x600.jpg,,,Acer,Săn mã đến 1 triệu 19.990.000₫ Màn hình: 14"; WUXGA CPU: i7; 1355U; 1.7GHz Card: Intel Iris Xe Pin: 3-cell; 50Wh Khối lượng: 1.5 kg
325699,0220042002685,https://www.thegioididong.com/laptop/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008,Laptop Acer Gaming Aspire 5 A515 58GM 53PZ i5 13420H/8GB/512GB/4GB RTX2050/Win11 (NX.KQ4SV.008),20.490.000₫,-24%,15.490.000₫,https://cdn.tgdd.vn/Products/Images/44/325699/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008-thumb-1-600x600.jpg,,,Acer,Săn mã đến 1 triệu 20.490.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i5; 13420H; 2.1GHz Card: RTX 2050 4GB Pin: 50 Wh Khối lượng: 1.7 kg
329337,0220042002826,https://www.thegioididong.com/laptop/acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g,Laptop Acer Gaming Nitro AN515 58 773Y i7 12700H/16GB/512GB/4GB RTX3050Ti/144Hz/Win11 (NH.QFKSV.001.16G),33.790.000₫,-31%,22.990.000₫,https://cdn.tgdd.vn/Products/Images/44/329337/acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g-260824-111846-600x600.jpg,,,Acer,Săn mã đến 1 triệu 33.790.000₫ Quà 900.000₫ Màn hình: 15.6"; Full HD (1920 x 1080); 144Hz CPU: i7; 12700H; 2.30 GHz Card: RTX 3050Ti 4GB Pin: 4-cell; 57.5Wh Khối lượng: 2.5 kg
307185,0220042002272,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003,Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),13.090.000₫,-23%,9.990.000₫,https://cdn.tgdd.vn/Products/Images/44/307185/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003-thumb-600x600.png,4.5,4513,Acer,Săn mã đến 1 triệu 13.090.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i3; 1315U; 1.2GHz Card: Intel UHD Pin: 3-cell; 50Wh Khối lượng: 1.7 kg
